Cell,Type,Axis,Mean (Offset),Std (Noise),Threshold (3xStd)
01,Raw,X,33089.40701176858,2.422246355590465,7.266739066771395
01,Raw,Y,33188.05869475763,2.413719987601181,7.241159962803542
01,Raw,Z,37901.65997860258,2.6248164447987414,7.874449334396225
01,Force,X,-0.022171124845691708,0.004868498746847653,0.01460549624054296
01,Force,Y,-0.024361458809974493,0.004204798329008473,0.01261439498702542
01,Force,Z,0.021244869722656573,0.00393284522107281,0.01179853566321843
02,Raw,X,32851.8741502757,2.0707836186010193,6.212350855803058
02,Raw,Y,33374.48088223192,2.913251276326564,8.739753828979692
02,Raw,Z,37401.57448769649,2.2032704530536766,6.60981135916103
02,Force,X,-0.009677042877129456,0.003963563989780906,0.011890691969342719
02,Force,Y,-0.020115007159904535,0.003933355244524693,0.01180006573357408
02,Force,Z,0.0022226536087564808,0.0021320820552547196,0.006396246165764159
03,Raw,X,32768.912270595014,1.9256465729784198,5.776939718935259
03,Raw,Y,33183.638219076616,3.46597789122925,10.39793367368775
03,Raw,Z,37521.998337585384,2.3237678964548434,6.971303689364531
03,Force,X,-0.019387877376347624,0.0033643846525878507,0.010093153957763553
03,Force,Y,-0.016713385400378568,0.004506933270811799,0.013520799812435397
03,Force,Z,0.009001288782816228,0.0023008312539400154,0.006902493761820046
04,Raw,X,32398.090692124104,2.5600401644532123,7.680120493359636
04,Raw,Y,33271.57509669986,3.411984528573047,10.235953585719141
04,Raw,Z,37710.06093325652,2.6877669317175967,8.06330079515279
04,Force,X,0.00020994617726936043,0.0037239320022511143,0.011171796006753342
04,Force,Y,-0.028529184264669574,0.004894251900506898,0.014682755701520694
04,Force,Z,-0.00499909538309604,0.0029338578430279493,0.008801573529083848
05,Raw,X,33265.82791539791,2.005288679527578,6.015866038582734
05,Raw,Y,32776.928680767014,2.1690325497471514,6.507097649241454
05,Raw,Z,37494.657295695826,2.4150370831003984,7.245111249301195
05,Force,X,-0.03505034779030533,0.0040601060764027825,0.012180318229208347
05,Force,Y,-0.02854752662332319,0.004953848688783122,0.014861546066349367
05,Force,Z,0.03036387046333635,0.003172543110986235,0.009517629332958705
06,Raw,X,32849.637099827174,2.257290873523504,6.771872620570512
06,Raw,Y,32778.441988313716,2.514864061974559,7.544592185923677
06,Raw,Z,37033.87150028804,2.2753080958911296,6.825924287673389
06,Force,X,-0.009182656736071106,0.0045670063524202555,0.013701019057260767
